Prefix,Primary City,Company,County,Usage,Introduced
(206) 200-,"Seattle, WA",Cellco Partnership DBA Verizon Wireless,King,Cell Number,1/25/98
(206) 201-,"Seattle, WA",Teleport Communications America,King,Landline,5/10/99
(206) 202-,"Seattle, WA","International Telcom, Ltd.",King,Landline,1/14/00
(206) 203-,"Seattle, WA","International Telcom, Ltd.",King,Landline,2/16/01
(206) 204-,"Seattle, WA",Mcleodusa Telecommunications Services- Wa,King,Landline,6/30/01
(206) 205-,"Seattle, WA",Qwest Corporation,King,Landline,8/14/98
(206) 208-,"Seattle, WA","International Telcom, Ltd.",King,Landline,10/13/99
(206) 209-,"Seattle, WA",Neutral Tandem-washington,King,Landline,3/12/12
(206) 210-,"Seattle, WA",Fox Communications Corporation,King,Landline,1/14/00
(206) 212-,"Seattle, WA",Teleport Communications America,King,Landline,4/23/01
(206) 213-,"Seattle, WA",Qwest Corporation,King,Landline,9/11/94
(206) 214-,"Seattle, WA",Qwest Corporation,King,Landline,2/4/94
(206) 215-,"Seattle, WA",Qwest Corporation,King,Landline,2/4/94
(206) 216-,"Seattle, WA",Qwest Corporation,King,Landline,9/11/94
(206) 217-,"Seattle, WA",Qwest Corporation,King,Landline,2/4/94
(206) 218-,"Seattle, WA",Qwest Corporation,King,Landline,2/4/94
(206) 219-,"Seattle, WA",Broadwing Communications,King,Landline,7/22/99
(206) 220-,"Seattle, WA",Qwest Corporation,King,Landline,2/4/94
(206) 221-,"Seattle, WA",Qwest Corporation,King,Landline,10/11/97
(206) 222-,"Seattle, WA","International Telcom, Ltd.",King,Landline,5/10/99
(206) 223-,"Seattle, WA",Qwest Corporation,King,Landline,2/4/94
(206) 224-,"Seattle, WA",Qwest Corporation,King,Landline,2/4/94
(206) 225-,"Seattle, WA",Broadwing Communications,Kitsap,Landline,5/10/99
(206) 226-,"Seattle, WA",T-mobile Usa,King,Cell Number,1/25/98
(206) 227-,"Seattle, WA",T-mobile Usa,King,Cell Number,1/25/98
(206) 228-,"Seattle, WA",T-mobile Usa,King,Cell Number,10/13/99
(206) 229-,"Seattle, WA",T-mobile Usa,King,Cell Number,1/25/98
(206) 230-,"Seattle, WA",Qwest Corporation,King,Landline,2/4/94
(206) 232-,"Seattle, WA",Qwest Corporation,King,Landline,2/4/94
(206) 233-,"Seattle, WA",Qwest Corporation,King,Landline,2/4/94
(206) 234-,"Seattle, WA",T-mobile Usa,King,Cell Number,10/13/99
(206) 235-,"Seattle, WA",T-mobile Usa,King,Cell Number,10/13/99
(206) 236-,"Seattle, WA",Qwest Corporation,King,Landline,2/4/94
(206) 237-,"Richmond Beach, WA",Pac - West Telecomm,King,Landline,1/14/00
(206) 238-,"Seattle, WA",Pac - West Telecomm,King,Landline,1/14/00
(206) 239-,"Seattle, WA",Qwest Corporation,King,Landline,10/13/99
(206) 240-,"Seattle, WA",New Cingular Wireless PCS,King,Cell Number,10/15/96
(206) 241-,"Seattle, WA",Qwest Corporation,King,Landline,2/4/94
(206) 242-,"Seattle, WA",Qwest Corporation,King,Landline,2/4/94
(206) 243-,"Seattle, WA",Qwest Corporation,King,Landline,2/4/94
(206) 244-,"Seattle, WA",Qwest Corporation,King,Landline,2/4/94
(206) 245-,"Seattle, WA",Electric Lightwave DBA Integra Telecom,King,Landline,1/27/04
(206) 246-,"Seattle, WA",Qwest Corporation,King,Landline,2/4/94
(206) 248-,"Seattle, WA",Qwest Corporation,King,Landline,2/4/94
(206) 249-,"Des Moines, WA",Integra Telecom Of Washington,King,Landline,1/24/01
(206) 250-,"Kirkland, WA",Sprint Spectrum L.p.,King,Cell Number,7/22/99
(206) 251-,"Kirkland, WA",Sprint Spectrum L.p.,King,Cell Number,7/22/99
(206) 252-,"Seattle, WA",Teleport Communications America,King,Landline,1/14/00
(206) 254-,"Seattle, WA",Qwest Corporation,King,Landline,3/3/01
(206) 255-,"Seattle, WA",Sprint Spectrum L.p.,King,Cell Number,1/14/00
(206) 256-,"Seattle, WA",Qwest Corporation,King,Landline,7/1/96
(206) 257-,"Seattle, WA",Comcast Phone Of Washington/oregon,King,Landline,1/5/05
(206) 258-,"Seattle, WA",Comcast Phone Of Washington/oregon,King,Landline,5/15/13
(206) 259-,"Vashon, WA",Tw Telecom Of Washington LLC,King,Landline,9/1/04
(206) 260-,"Seattle, WA",Pac - West Telecomm,King,Landline,1/14/00
(206) 261-,"Seattle, WA",Sprint Spectrum L.p.,King,Cell Number,1/14/00
(206) 262-,"Seattle, WA",Qwest Corporation,King,Landline,10/13/99
(206) 263-,"Seattle, WA",Qwest Corporation,King,Landline,1/25/98
(206) 264-,"Seattle, WA",Qwest Corporation,King,Landline,11/20/98
(206) 265-,"Seattle, WA",Qwest Corporation,King,Landline,10/13/99
(206) 266-,"Seattle, WA",Broadwing Communications,King,Landline,4/23/01
(206) 267-,"Seattle, WA",Allegiance Telecom Of Washington,King,Landline,1/14/00
(206) 268-,"Seattle, WA",Teleport Communications America,King,Landline,4/23/01
(206) 269-,"Seattle, WA",Qwest Corporation,King,Landline,1/10/96
(206) 270-,"Seattle, WA",Qwest Corporation,King,Landline,2/4/94
(206) 271-,"Seattle, WA",Sprint Spectrum L.p.,King,Cell Number,6/13/00
(206) 272-,"Seattle, WA",Qwest Corporation,King,Landline,6/13/00
(206) 273-,"Seattle, WA",Qwest Corporation,King,Landline,7/1/96
(206) 274-,"Seattle, WA",Broadwing Communications,King,Landline,8/23/02
(206) 275-,"Seattle, WA",Qwest Corporation,King,Landline,5/18/98
(206) 276-,"Seattle, WA",Cellco Partnership DBA Verizon Wireless,King,Cell Number,7/1/96
(206) 277-,"Seattle, WA",Qwest Corporation,King,Landline,6/13/00
(206) 278-,"Seattle, WA","International Telcom, Ltd.",King,Landline,5/10/99
(206) 279-,"Seattle, WA","International Telcom, Ltd.",King,Landline,10/13/99
(206) 280-,"Kirkland, WA",Sprint Spectrum L.p.,King,Cell Number,7/22/99
(206) 281-,"Seattle, WA",Qwest Corporation,King,Landline,2/4/94
(206) 282-,"Seattle, WA",Qwest Corporation,King,Landline,2/4/94
(206) 283-,"Seattle, WA",Qwest Corporation,King,Landline,2/4/94
(206) 284-,"Seattle, WA",Qwest Corporation,King,Landline,2/4/94
(206) 285-,"Seattle, WA",Qwest Corporation,King,Landline,2/4/94
(206) 286-,"Seattle, WA",Qwest Corporation,King,Landline,2/4/94
(206) 287-,"Seattle, WA",Qwest Corporation,King,Landline,2/4/94
(206) 288-,"Redmond, WA",Teleport Communications America,King,Landline,6/13/00
(206) 289-,"Seattle, WA",Teleport Communications America,King,Landline,7/1/96
(206) 290-,"Kirkland, WA",Sprint Spectrum L.p.,King,Cell Number,7/22/99
