Adams County
Adams County Christian Academy, Gettysburg
Bermudian Springs High School, York Springs
Biglerville High School, Biglerville
Delone Catholic High School, McSherrystown
Fairfield Area High School, Fairfield
Freedom Christian School, Gettysburg
Gettysburg Area High School, Gettysburg
Littlestown High School, Littlestown
New Oxford High School, New Oxford
Allegheny County
Taylor Allderdice High School, Pittsburgh
Avonworth High School, Pittsburgh
Baldwin High School, Baldwin
Bethel Park High School, Bethel Park
Bishop Canevin High School, Pittsburgh
Brashear High School, Pittsburgh
Brentwood High School, Brentwood
Carlynton Junior/Senior High School, Carnegie
Carrick High School, Pittsburgh
Chartiers Valley High School, Bridgeville
Cheswick Christian Academy, Cheswick
City Charter High School, Downtown Pittsburgh
Clairton High School, Clairton
Cornell High School[1], Coraopolis
Deer Lakes High School, Russellton
East Allegheny Junior/Senior High School, North Versailles
Eden Christian Academy[2], North Hills, Sewickley, Wexford
Ellis High School
Elizabeth Forward High School, Elizabeth
Fox Chapel Area High School, Fox Chapel
Gateway High School, Monroeville
Hampton High School, Allison Park
Highlands High School, Natrona Heights
Keystone Oaks High School, Pittsburgh
Langley High School, Pittsburgh
Letsche Education Center, Pittsburgh
McKeesport Area High School, McKeesport
Montour High School, McKees Rocks
Moon Area High School, Coraopolis
Mt. Alvernia High School, Pittsburgh
Mount Lebanon High School, Mount Lebanon
North Allegheny Intermediate High School, McCandless
North Allegheny Senior High School, Wexford
North Catholic High School, Pittsburgh
North Hills Senior High School, Pittsburgh
Northgate Junior - Senior High School, Pittsburgh
Oakland Catholic High School, Pittsburgh
Oliver High School, Pittsburgh
Our Lady of the Sacred Heart High School, Coraopolis
Peabody High School, Pittsburgh
Penn Hills High School, Penn Hills
Perry Traditional Academy, Pittsburgh
Pine-Richland High School, Gibsonia
Pittsburgh Central Catholic High School, Pittsburgh
Pittsburgh Creative and Performing Arts 6-12, Pittsburgh
Plum High School, Plum Borough
Quaker Valley High School, Leetsdale
Riverview High School, Oakmont
St. Joseph High School, Natrona Heights
Schenley High School, Pittsburgh
Serra Catholic High School, McKeesport
Seton-La Salle Catholic High School, Pittsburgh
Sewickley Academy, Sewickley
Shady Side Academy, Pittsburgh
Shaler Area High School, Shaler Township
South Allegheny Middle/Senior High School, McKeesport
South Fayette Township High School, McDonald
South Park High School, South Park
South Vocational-Technology High School, Pittsburgh
Southwood School, Pittsburgh
Springdale Junior/Senior High School, Springdale
Steel Valley High School, Munhall
Sto-Rox High School, McKees Rocks
The Ellis School, Pittsburgh
The University School, Pittsburgh
Thomas Jefferson High School, Jefferson Hills
Three Rivers Village School, Pittsburgh
Trinity Christian School, Forest Hills
Upper St. Clair High School, Upper St. Clair
Vincentian Academy, Pittsburgh
West Allegheny High School, Imperial
West Mifflin Area High School, West Mifflin
Western Pennsylvania School for the Deaf, Pittsburgh
Westinghouse High School, Pittsburgh
Wilkinsburg High School, Wilkinsburg
Wilson Christian Academy, West Mifflin
Winchester Thurston School, Pittsburgh
Woodland Hills High School, Pittsburgh
Armstrong County
Apollo-Ridge High School, Spring Church
Elderton High School, Elderton
Ford City High Junior/Senior High School[3], Ford City
Freeport Area High School, Freeport
Kittanning High School, Kittanning
Leechburg High School[4], Leechburg
Lenape Tech, Ford City
West Shamokin Junior/Senior High School, Rural Valley
Beaver County
Aliquippa High School, Aliquippa
Ambridge Area High School, Ambridge
Beaver Area High School, Beaver
Beaver County Christian High School[5], Beaver Falls
Big Beaver Falls High School, Beaver Falls
Bethel Christian School, Aliquippa
Blackhawk High School, Beaver Falls
Center High School (defunct), Center Township
Central Valley High School[6], Monaca, Center Township
Freedom Area High School, Freedom
Hopewell High School, Aliquippa
Lincoln Park Performing Arts Charter School, Midland
Monaca High School (defunct), Monaca
New Brighton Area High School, New Brighton
Quigley Catholic High School, Baden
Riverside High School, Ellwood City (Beaver County side only)
