Adams County,1
"Adams-Friendship High School, Adams",1
Ashland County,2
"Ashland High School, Ashland [1]",2
"Butternut High School, Butternut",2
"Glidden High School, Glidden",2
"Mellen High School, Mellen",2
Barron County,3
"Barron High School, Barron [2]",3
"Cameron High School, Cameron [3]",3
"Chetek-Weyerhaeuser High School, Chetek [4]",3
"Cumberland High School, Cumberland [5]",3
"Prairie Farm High School, Prairie Farm [6]",3
"Rice Lake High School, Rice Lake [7]",3
"Turtle Lake High School, Turtle Lake [8]",3
Bayfield County,4
"Bayfield High School, Bayfield",4
"Drummond High School, Drummond",4
"South Shore High School, Port Wing",4
"Washburn High School, Washburn",4
Brown County,5
"Ashwaubenon High School, Green Bay",5
"Bay City Baptist School, Green Bay",5
"Bay Port High School, Green Bay",5
"De Pere High School, De Pere",5
"Denmark High School, Denmark",5
"Green Bay East High School, Green Bay",5
"Green Bay Southwest High School, Green Bay",5
"Green Bay West High School, Green Bay",5
"Northeastern Wisconsin Lutheran High School, Green Bay",5
"Notre Dame De La Baie Academy, Green Bay",5
"Preble High School, Green Bay",5
"Pulaski High School, Pulaski",5
"West De Pere High School, De Pere",5
"Wrightstown High School, Wrightstown",5
Buffalo County,6
"Alma High School, Alma",6
"Cochrane-Fountain City High School, Fountain City",6
"Gilmanton High School, Gilmanton",6
"Mondovi High School, Mondovi",6
Burnett County,7
"Grantsburg High School, Grantsburg",7
"Siren High School, Siren",7
"Webster High School, Webster",7
Calumet County,8
"Brillion High School, Brillion",8
"Chilton High School, Chilton",8
"Hilbert High School, Hilbert",8
"New Holstein High School, New Holstein",8
"Stockbridge High School, Stockbridge",8
Chippewa County,9
"Bloomer High School, Bloomer",9
"Cadott High School, Cadott",9
"Chippewa Falls High School, Chippewa Falls",9
"Cornell High School, Cornell",9
"Holcombe High School, Holcombe",9
"McDonell Central Catholic High School, Chippewa Falls",9
"New Auburn High School, New Auburn",9
"Stanley-Boyd High School, Stanley",9
Clark County,10
"Abbotsford High School, Abbotsford",10
"Colby High School, Colby",10
"Granton High School, Granton",10
"Greenwood High School, Greenwood",10
"Loyal High School, Loyal",10
"Neillsville High School, Neillsville",10
"Owen-Withee High School, Owen",10
"Thorp High School, Thorp",10
Columbia County,11
"Cambria-Friesland High School, Cambria",11
"Columbus Senior High School, Columbus",11
"Fall River High School, Fall River",11
"Lodi High School, Lodi",11
"Pardeeville High School, Pardeeville",11
"Portage High School, Portage",11
"Poynette High School, Poynette",11
"Rio High School, Rio",11
"Wisconsin Academy, Columbus",11
"Wisconsin Dells High School, Wisconsin Dells",11
Crawford County,12
"North Crawford High School, Soldiers Grove",12
"Prairie du Chien High School, Prairie du Chien",12
"Seneca High School, Seneca",12
"Wauzeka High School, Wauzeka",12
Dane County,13
"Abundant Life Christian School, Madison [9]",13
"Belleville High School, Belleville",13
"DeForest High School, DeForest",13
"Deerfield High School, Deerfield [10]",13
"Edgewood High School of the Sacred Heart, Madison [11]",13
"Madison Country Day School, Madison",13
"Madison East High School, Madison",13
"Madison LaFollette High School, Madison",13
"Madison West High School, Madison",13
"Marshall High School, Marshall [12]",13
"McFarland High School, McFarland [13]",13
"James Madison Memorial High School, Madison",13
"Middleton High School, Middleton",13
"Monona Grove High School, Monona",13
"Mount Horeb High School, Mount Horeb",13
"Oregon High School, Oregon",13
"St. Ambrose Academy, Madison",13
"Malcolm Shabazz City High School, Madison",13
"Stoughton High School, Stoughton",13
"Sun Prairie High School, Sun Prairie",13
"Verona Area High School, Verona",13
"Waunakee High School, Waunakee",13
"Wisconsin Heights High School, Mazomanie",13
"Work & Learning High School, Madison",13
Dodge County,14
"Beaver Dam High School, Beaver Dam",14
"Dodgeland High School, Juneau",14
"Horicon High School, Horicon",14
"Hustisford High School, Hustisford",14
"Lomira High School, Lomira",14
"Mayville High School, Mayville",14
"Randolph High School, Randolph [14]",14
"Watertown High School, Watertown [15]",14
"Wayland Academy, Beaver Dam",14
"Waupun High School, Waupun",14
"Central Wisconsin Christian High School, Waupun",14
Door County,15
"Gibraltar High School, Fish Creek",15
"Sevastopol High School, Sturgeon Bay",15
"Southern Door High School, Brussels",15
"Sturgeon Bay High School, Sturgeon Bay",15
"Washington Island High School, Washington Island",15
Douglas County,16
"Northwestern High School, Maple [16]",16
"Solon Springs High School, Solon Springs [17]",16
"Superior High School, Superior",16
Dunn County,17
"Boyceville High School, Boyceville",17
"Colfax High School, Colfax [18]",17
"Elk Mound High School, Elk Mound",17
"Lucas Charter School, Menomonie",17
"Menomonie High School, Menomonie",17
Eau Claire County,18
"Altoona High School, Altoona",18
"Augusta High School, Augusta [19]",18
"Eau Claire Christian High School, Eau Claire",18
"Memorial High School, Eau Claire",18
"North High School, Eau Claire",18
"Eau Claire Technology Charter School, Eau Claire",18
"Fall Creek High School, Fall Creek",18
"Immanuel Lutheran High School, Eau Claire",18
"McKinley Charter School, Eau Claire",18
"Regis High School, Eau Claire",18
Florence County,19
"Florence High School, Florence",19
Fond du Lac County,19
"Campbellsport High School, Campbellsport",19
"Fond du Lac High School, Fond du Lac",19
"Laconia High School, Rosendale",19
"Horace Mann High School, North Fond du Lac",19
"Oakfield High School, Oakfield",19
"Ripon High School, Ripon",19
"St. Lawrence Seminary High School, Mount Calvary",19
"St. Mary Springs High School, Fond du Lac",19
"Winnebago Lutheran Academy, Fond du Lac",19
Forest County,20
"Crandon High School, Crandon",20
"Laona High School, Laona",20
"Wabeno High School, Wabeno",20
Grant County,21
"Boscobel High School, Boscobel [20]",21
"Cassville High School, Cassville",21
"Cuba City High School, Cuba City",21
"Fennimore High School, Fennimore",21
"Lancaster High School, Lancaster [21]",21
"Platteville High School, Platteville [22]",21
"Potosi High School, Potosi",21
"River Ridge High School, Patch Grove",21
"Riverdale High School, Muscoda [23]",21
"Southwestern Wisconsin High School, Hazel Green",21
Green County,22
"Albany High School, Albany [24]",22
"Brodhead High School, Brodhead",22
"Juda High School, Juda",22
"Monroe High School, Monroe",22
"Monticello High School, Monticello",22
"New Glarus High School, New Glarus",22
Green Lake County,23
"Berlin High School, Berlin [25]",23
"Green Lake High School, Green Lake",23
"Markesan High School, Markesan",23
"Princeton High School, Princeton",23
Iowa County,24
"Barneveld High School, Barneveld",24
"Dodgeville High School, Dodgeville",24
"Highland High School, Highland",24
"Iowa-Grant High School, Livingston",24
"Mineral Point High School, Mineral Point",24
Iron County,25
"Hurley K-12 School, Hurley",25
"Mercer High School, Mercer",25
Jackson County,26
"Black River Falls High School, Black River Falls",26
"Lincoln High School, Alma Center [26]",26
"Melrose-Mindoro High School, Melrose",26
Jefferson County,27
"Cambridge High School, Cambridge [27]",27
"Fort Atkinson High School, Fort Atkinson",27
"Jefferson High School, Jefferson [28]",27
"Johnson Creek High School, Johnson Creek",27
"Lake Mills High School, Lake Mills",27
"Lakeside Lutheran High School, Lake Mills",27
"Luther Preparatory School, Watertown (formerly Northwestern Preparatory School)",27
"Maranatha Baptist Academy, Watertown",27
"Palmyra-Eagle High School, Palmyra",27
"Waterloo High School, Waterloo [29]",27
Juneau County,28
"Mauston High School, Mauston",28
"Necedah High School, Necedah",28
